Entity,Code,Year,Wind Capacity
Africa,,1997,0.006
Africa,,1998,0.01
Africa,,1999,0.064
Africa,,2000,0.1334
Africa,,2001,0.1334
Africa,,2002,0.13966
Africa,,2003,0.15024
Africa,,2004,0.22616
Africa,,2005,0.22638
Africa,,2006,0.31108
Africa,,2007,0.45192
Africa,,2008,0.53712
Africa,,2009,0.72405
Africa,,2010,0.846477
Africa,,2011,0.976682
Africa,,2012,1.109974
Africa,,2013,1.724204
Africa,,2014,2.382768
Africa,,2015,3.322
Africa,,2016,3.829
Africa,,2017,4.581
Africa,,2018,5.469
Africa,,2019,5.769
Africa,,2020,6.491
Argentina,ARG,1997,0.009
Argentina,ARG,1998,0.014
Argentina,ARG,1999,0.014
Argentina,ARG,2000,0.0141
Argentina,ARG,2001,0.0248
Argentina,ARG,2002,0.0258
Argentina,ARG,2003,0.0257
Argentina,ARG,2004,0.0278
Argentina,ARG,2005,0.0278
Argentina,ARG,2006,0.0278
Argentina,ARG,2007,0.0278
Argentina,ARG,2008,0.0278
Argentina,ARG,2009,0.0278
Argentina,ARG,2010,0.0278
Argentina,ARG,2011,0.0596
Argentina,ARG,2012,0.137
Argentina,ARG,2013,0.19
Argentina,ARG,2014,0.2152
Argentina,ARG,2015,0.187
Argentina,ARG,2016,0.187
Argentina,ARG,2017,0.257202
Argentina,ARG,2018,0.750092
Argentina,ARG,2019,1.609409
Argentina,ARG,2020,2.624
Asia Pacific,,1997,1.117075
Asia Pacific,,1998,1.242075
Asia Pacific,,1999,1.422755
Asia Pacific,,2000,1.7776
Asia Pacific,,2001,2.1496
Asia Pacific,,2002,2.6193
Asia Pacific,,2003,3.4839
Asia Pacific,,2004,5.1403
Asia Pacific,,2005,7.8106
Asia Pacific,,2006,11.5235
Asia Pacific,,2007,15.6037
Asia Pacific,,2008,22.797854
Asia Pacific,,2009,33.557454
Asia Pacific,,2010,48.519154
Asia Pacific,,2011,68.725641
Asia Pacific,,2012,86.039702
Asia Pacific,,2013,103.430299
Asia Pacific,,2014,128.811589
Asia Pacific,,2015,166.703591
Asia Pacific,,2016,189.152216
Asia Pacific,,2017,210.459
Asia Pacific,,2018,235.561
Asia Pacific,,2019,265.111
Asia Pacific,,2020,341.896
Australia,AUS,1997,0.004
Australia,AUS,1998,0.01
Australia,AUS,1999,0.01
Australia,AUS,2000,0.033
Australia,AUS,2001,0.076
Australia,AUS,2002,0.106
Australia,AUS,2003,0.19
Australia,AUS,2004,0.379
Australia,AUS,2005,0.74
Australia,AUS,2006,0.819
Australia,AUS,2007,1.249
Australia,AUS,2008,1.441
Australia,AUS,2009,1.703
Australia,AUS,2010,1.864
Australia,AUS,2011,2.127
Australia,AUS,2012,2.561
Australia,AUS,2013,3.221
Australia,AUS,2014,3.797
Australia,AUS,2015,4.234
Australia,AUS,2016,4.327
Australia,AUS,2017,4.816
Australia,AUS,2018,5.679
Australia,AUS,2019,7.133
Australia,AUS,2020,9.457
Austria,AUT,1997,0.02
Austria,AUT,1998,0.03
Austria,AUT,1999,0.042
Austria,AUT,2000,0.05
Austria,AUT,2001,0.067
Austria,AUT,2002,0.109
Austria,AUT,2003,0.322
Austria,AUT,2004,0.581
Austria,AUT,2005,0.825219
Austria,AUT,2006,0.968269
Austria,AUT,2007,0.991159
Austria,AUT,2008,0.991974
Austria,AUT,2009,1.000985
Austria,AUT,2010,1.015828
Austria,AUT,2011,1.105966
Austria,AUT,2012,1.33715
Austria,AUT,2013,1.674538
Austria,AUT,2014,2.110275
Austria,AUT,2015,2.488726
Austria,AUT,2016,2.729996
Austria,AUT,2017,2.886698
Austria,AUT,2018,3.132713
Austria,AUT,2019,3.224
Austria,AUT,2020,3.224
Belgium,BEL,1997,0.009
Belgium,BEL,1998,0.01
Belgium,BEL,1999,0.011
Belgium,BEL,2000,0.014
Belgium,BEL,2001,0.026
Belgium,BEL,2002,0.031
Belgium,BEL,2003,0.067
Belgium,BEL,2004,0.096
Belgium,BEL,2005,0.167
Belgium,BEL,2006,0.212
Belgium,BEL,2007,0.276
Belgium,BEL,2008,0.324
Belgium,BEL,2009,0.608
Belgium,BEL,2010,0.912
Belgium,BEL,2011,1.069
Belgium,BEL,2012,1.37
Belgium,BEL,2013,1.78
Belgium,BEL,2014,1.944
Belgium,BEL,2015,2.176
Belgium,BEL,2016,2.37
Belgium,BEL,2017,2.788
Belgium,BEL,2018,3.268
Belgium,BEL,2019,3.863
Belgium,BEL,2020,4.692
Brazil,BRA,1997,0.004
Brazil,BRA,1998,0.019
Brazil,BRA,1999,0.022
Brazil,BRA,2000,0.022
Brazil,BRA,2001,0.024
Brazil,BRA,2002,0.022
Brazil,BRA,2003,0.024
Brazil,BRA,2004,0.024
Brazil,BRA,2005,0.029
Brazil,BRA,2006,0.237
Brazil,BRA,2007,0.247
Brazil,BRA,2008,0.398
Brazil,BRA,2009,0.602
Brazil,BRA,2010,0.927
Brazil,BRA,2011,1.426
Brazil,BRA,2012,1.894
Brazil,BRA,2013,2.202
Brazil,BRA,2014,4.888
Brazil,BRA,2015,7.633
Brazil,BRA,2016,10.129
Brazil,BRA,2017,12.304
Brazil,BRA,2018,14.843
Brazil,BRA,2019,15.438
Brazil,BRA,2020,17.198
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.001
Bulgaria,BGR,2005,0.008
Bulgaria,BGR,2006,0.027
Bulgaria,BGR,2007,0.03
Bulgaria,BGR,2008,0.114
Bulgaria,BGR,2009,0.333
Bulgaria,BGR,2010,0.488
Bulgaria,BGR,2011,0.541
Bulgaria,BGR,2012,0.677
Bulgaria,BGR,2013,0.683
Bulgaria,BGR,2014,0.699
Bulgaria,BGR,2015,0.699
Bulgaria,BGR,2016,0.699
Bulgaria,BGR,2017,0.69839
Bulgaria,BGR,2018,0.69892
Bulgaria,BGR,2019,0.703
Bulgaria,BGR,2020,0.703
CIS,,2000,0.003
CIS,,2001,0.003
CIS,,2002,0.007
CIS,,2003,0.009
CIS,,2004,0.009
CIS,,2005,0.0126
CIS,,2006,0.0126
CIS,,2007,0.0126
CIS,,2008,0.0126
CIS,,2009,0.0146
CIS,,2010,0.01464
CIS,,2011,0.01264
CIS,,2012,0.01414
CIS,,2013,0.01934
CIS,,2014,0.06815
CIS,,2015,0.0939
CIS,,2016,0.1489
CIS,,2017,0.1639
CIS,,2018,0.2639
CIS,,2019,0.4769
CIS,,2020,1.522
